,Application,Actual Extension
0,python,python.exe
1,pythonw,pythonw.exe
2,anyconfig_cli,anyconfig_cli.exe
3,chardetect,chardetect.exe
4,cygdb,cygdb.exe
5,cython,cython.exe
6,cythonize,cythonize.exe
7,easy_install-2,easy_install-2.7.exe
8,easy_install,easy_install.exe
9,f2py,f2py.exe
10,flask,flask.exe
11,futurize,futurize.exe
12,googleimagesdownload,googleimagesdownload.exe
13,gtts-cli,gtts-cli.exe
14,langid,langid.exe
15,margins,margins.exe
16,pasteurize,pasteurize.exe
17,pip,pip.exe
18,pip2,pip2.7.exe
19,pip2,pip2.exe
20,tts-watson,tts-watson.exe
21,youtube-dl,youtube-dl.exe
22,mpiexec,mpiexec.exe
23,msmpilaunchsvc,msmpilaunchsvc.exe
24,smpd,smpd.exe
25,java,java.exe
26,javaw,javaw.exe
27,javaws,javaws.exe
28,agentactivationruntimestarter,agentactivationruntimestarter.exe
29,AgentService,AgentService.exe
30,aitstatic,aitstatic.exe
31,alg,alg.exe
32,AppHostRegistrationVerifier,AppHostRegistrationVerifier.exe
33,appidcertstorecheck,appidcertstorecheck.exe
34,appidpolicyconverter,appidpolicyconverter.exe
35,appidtel,appidtel.exe
36,ApplicationFrameHost,ApplicationFrameHost.exe
37,ApplySettingsTemplateCatalog,ApplySettingsTemplateCatalog.exe
38,ApplyTrustOffline,ApplyTrustOffline.exe
39,ApproveChildRequest,ApproveChildRequest.exe
40,AppVClient,AppVClient.exe
41,AppVDllSurrogate,AppVDllSurrogate.exe
42,appverif,appverif.exe
43,AppVNice,AppVNice.exe
44,AppVShNotify,AppVShNotify.exe
45,ARP,ARP.EXE
46,at,at.exe
47,AtBroker,AtBroker.exe
48,attrib,attrib.exe
49,audiodg,audiodg.exe
50,auditpol,auditpol.exe
51,AuthHost,AuthHost.exe
52,autochk,autochk.exe
53,autoconv,autoconv.exe
54,autofmt,autofmt.exe
55,AxInstUI,AxInstUI.exe
56,baaupdate,baaupdate.exe
57,backgroundTaskHost,backgroundTaskHost.exe
58,BackgroundTransferHost,BackgroundTransferHost.exe
59,bcdboot,bcdboot.exe
60,bcdedit,bcdedit.exe
61,bdechangepin,bdechangepin.exe
62,BdeHdCfg,BdeHdCfg.exe
63,BdeUISrv,BdeUISrv.exe
64,bdeunlock,bdeunlock.exe
65,BioIso,BioIso.exe
66,BitLockerDeviceEncryption,BitLockerDeviceEncryption.exe
67,BitLockerWizard,BitLockerWizard.exe
68,BitLockerWizardElev,BitLockerWizardElev.exe
69,bitsadmin,bitsadmin.exe
70,bootcfg,bootcfg.exe
71,bootim,bootim.exe
72,bootsect,bootsect.exe
73,bridgeunattend,bridgeunattend.exe
74,browserexport,browserexport.exe
75,browser_broker,browser_broker.exe
76,bthudtask,bthudtask.exe
77,ByteCodeGenerator,ByteCodeGenerator.exe
78,cacls,cacls.exe
79,calc,calc.exe
80,CameraSettingsUIHost,CameraSettingsUIHost.exe
81,CastSrv,CastSrv.exe
82,CertEnrollCtrl,CertEnrollCtrl.exe
83,certreq,certreq.exe
84,certutil,certutil.exe
85,change,change.exe
86,changepk,changepk.exe
87,charmap,charmap.exe
88,CheckNetIsolation,CheckNetIsolation.exe
89,chglogon,chglogon.exe
90,chgport,chgport.exe
91,chgusr,chgusr.exe
92,chkdsk,chkdsk.exe
93,chkntfs,chkntfs.exe
94,choice,choice.exe
95,CIDiag,CIDiag.exe
96,cipher,cipher.exe
97,cleanmgr,cleanmgr.exe
98,cliconfg,cliconfg.exe
99,clip,clip.exe
100,ClipRenew,ClipRenew.exe
101,ClipUp,ClipUp.exe
102,CloudExperienceHostBroker,CloudExperienceHostBroker.exe
103,CloudNotifications,CloudNotifications.exe
104,cmd,cmd.exe
105,cmdkey,cmdkey.exe
106,cmdl32,cmdl32.exe
107,cmmon32,cmmon32.exe
108,cmstp,cmstp.exe
109,cofire,cofire.exe
110,colorcpl,colorcpl.exe
111,comp,comp.exe
112,compact,compact.exe
113,CompatTelRunner,CompatTelRunner.exe
114,CompMgmtLauncher,CompMgmtLauncher.exe
115,CompPkgSrv,CompPkgSrv.exe
116,ComputerDefaults,ComputerDefaults.exe
117,conhost,conhost.exe
118,consent,consent.exe
119,control,control.exe
120,convert,convert.exe
121,convertvhd,convertvhd.exe
122,coredpussvr,coredpussvr.exe
123,CredentialEnrollmentManager,CredentialEnrollmentManager.exe
124,CredentialUIBroker,CredentialUIBroker.exe
125,credwiz,credwiz.exe
126,cscript,cscript.exe
127,csrss,csrss.exe
128,ctfmon,ctfmon.exe
129,cttune,cttune.exe
130,cttunesvr,cttunesvr.exe
131,curl,curl.exe
132,CustomInstallExec,CustomInstallExec.exe
133,dasHost,dasHost.exe
134,DataExchangeHost,DataExchangeHost.exe
135,DataStoreCacheDumpTool,DataStoreCacheDumpTool.exe
136,DataUsageLiveTileTask,DataUsageLiveTileTask.exe
137,dccw,dccw.exe
138,dcomcnfg,dcomcnfg.exe
139,ddodiag,ddodiag.exe
140,Defrag,Defrag.exe
141,deploymentcsphelper,deploymentcsphelper.exe
142,desktopimgdownldr,desktopimgdownldr.exe
143,DeviceCensus,DeviceCensus.exe
144,DeviceCredentialDeployment,DeviceCredentialDeployment.exe
145,DeviceEject,DeviceEject.exe
146,DeviceEnroller,DeviceEnroller.exe
147,DevicePairingWizard,DevicePairingWizard.exe
148,DeviceProperties,DeviceProperties.exe
149,DFDWiz,DFDWiz.exe
150,dfrgui,dfrgui.exe
151,dialer,dialer.exe
152,directxdatabaseupdater,directxdatabaseupdater.exe
153,diskpart,diskpart.exe
154,diskperf,diskperf.exe
155,diskraid,diskraid.exe
156,DiskSnapshot,DiskSnapshot.exe
157,Dism,Dism.exe
158,dispdiag,dispdiag.exe
159,DisplaySwitch,DisplaySwitch.exe
160,djoin,djoin.exe
161,dllhost,dllhost.exe
162,dllhst3g,dllhst3g.exe
163,dmcertinst,dmcertinst.exe
164,dmcfghost,dmcfghost.exe
165,dmclient,dmclient.exe
166,DmNotificationBroker,DmNotificationBroker.exe
167,DmOmaCpMo,DmOmaCpMo.exe
168,dnscacheugc,dnscacheugc.exe
169,doskey,doskey.exe
170,dpapimig,dpapimig.exe
171,DpiScaling,DpiScaling.exe
172,dpnsvr,dpnsvr.exe
173,driverquery,driverquery.exe
174,drvcfg,drvcfg.exe
175,drvinst,drvinst.exe
176,DsmUserTask,DsmUserTask.exe
177,dsregcmd,dsregcmd.exe
178,dstokenclean,dstokenclean.exe
179,DTUHandler,DTUHandler.exe
180,dusmtask,dusmtask.exe
181,dvdplay,dvdplay.exe
182,dwm,dwm.exe
183,DWWIN,DWWIN.EXE
184,DXCap,DXCap.exe
185,DXCpl,DXCpl.exe
186,dxdiag,dxdiag.exe
187,dxgiadaptercache,dxgiadaptercache.exe
188,Dxpserver,Dxpserver.exe
189,Eap3Host,Eap3Host.exe
190,EaseOfAccessDialog,EaseOfAccessDialog.exe
191,easinvoker,easinvoker.exe
192,EASPolicyManagerBrokerHost,EASPolicyManagerBrokerHost.exe
193,EDPCleanup,EDPCleanup.exe
194,edpnotify,edpnotify.exe
195,EduPrintProv,EduPrintProv.exe
196,efsui,efsui.exe
197,EhStorAuthn,EhStorAuthn.exe
198,esentutl,esentutl.exe
199,eudcedit,eudcedit.exe
200,eventcreate,eventcreate.exe
201,eventvwr,eventvwr.exe
202,expand,expand.exe
203,extrac32,extrac32.exe
204,fc,fc.exe
205,fhmanagew,fhmanagew.exe
206,FileHistory,FileHistory.exe
207,find,find.exe
208,findstr,findstr.exe
209,finger,finger.exe
210,fixmapi,fixmapi.exe
211,fltMC,fltMC.exe
212,fodhelper,fodhelper.exe
213,Fondue,Fondue.exe
214,fontdrvhost,fontdrvhost.exe
215,fontview,fontview.exe
216,forfiles,forfiles.exe
217,fsavailux,fsavailux.exe
218,FsIso,FsIso.exe
219,fsquirt,fsquirt.exe
220,fsutil,fsutil.exe
221,ftp,ftp.exe
222,fvenotify,fvenotify.exe
223,fveprompt,fveprompt.exe
224,FXSCOVER,FXSCOVER.exe
225,FXSSVC,FXSSVC.exe
226,FXSUNATD,FXSUNATD.exe
227,GameBarPresenceWriter,GameBarPresenceWriter.exe
228,GamePanel,GamePanel.exe
229,GenValObj,GenValObj.exe
230,getmac,getmac.exe
231,gpresult,gpresult.exe
232,gpscript,gpscript.exe
233,gpupdate,gpupdate.exe
234,grpconv,grpconv.exe
235,hdwwiz,hdwwiz.exe
236,help,help.exe
237,HOSTNAME,HOSTNAME.EXE
238,hvax64,hvax64.exe
239,hvix64,hvix64.exe
240,hvsievaluator,hvsievaluator.exe
241,ibtsiva,ibtsiva.exe
242,icacls,icacls.exe
243,IcsEntitlementHost,IcsEntitlementHost.exe
244,icsunattend,icsunattend.exe
245,ie4uinit,ie4uinit.exe
246,ie4ushowIE,ie4ushowIE.exe
247,ieUnatt,ieUnatt.exe
248,iexpress,iexpress.exe
249,immersivetpmvscmgrsvr,immersivetpmvscmgrsvr.exe
250,InfDefaultInstall,InfDefaultInstall.exe
251,InputSwitchToastHandler,InputSwitchToastHandler.exe
252,iotstartup,iotstartup.exe
253,ipconfig,ipconfig.exe
254,iscsicli,iscsicli.exe
255,iscsicpl,iscsicpl.exe
256,isoburn,isoburn.exe
257,klist,klist.exe
258,ksetup,ksetup.exe
259,ktmutil,ktmutil.exe
260,label,label.exe
261,LanguageComponentsInstallerComHandler,LanguageComponentsInstallerComHandler.exe
262,LaunchTM,LaunchTM.exe
263,LaunchWinApp,LaunchWinApp.exe
264,LegacyNetUXHost,LegacyNetUXHost.exe
265,LicenseManagerShellext,LicenseManagerShellext.exe
266,licensingdiag,licensingdiag.exe
267,LicensingUI,LicensingUI.exe
268,LocationNotificationWindows,LocationNotificationWindows.exe
269,Locator,Locator.exe
270,LockAppHost,LockAppHost.exe
271,LockScreenContentServer,LockScreenContentServer.exe
272,lodctr,lodctr.exe
273,logagent,logagent.exe
274,logman,logman.exe
275,logoff,logoff.exe
276,LogonUI,LogonUI.exe
277,lpkinstall,lpkinstall.exe
278,lpksetup,lpksetup.exe
279,lpremove,lpremove.exe
280,LsaIso,LsaIso.exe
281,lsass,lsass.exe
282,Magnify,Magnify.exe
283,makecab,makecab.exe
284,manage-bde,manage-bde.exe
285,mavinject,mavinject.exe
286,MaxxAudioMeters64,MaxxAudioMeters64.exe
287,MbaeParserTask,MbaeParserTask.exe
288,mblctr,mblctr.exe
289,MBR2GPT,MBR2GPT.EXE
290,mcbuilder,mcbuilder.exe
291,MDEServer,MDEServer.exe
292,MDMAgent,MDMAgent.exe
293,MDMAppInstaller,MDMAppInstaller.exe
294,MdmDiagnosticsTool,MdmDiagnosticsTool.exe
295,MdRes,MdRes.exe
296,MdSched,MdSched.exe
297,mfpmp,mfpmp.exe
298,Microsoft,Microsoft.Uev.CscUnpinTool.exe
299,Microsoft,Microsoft.Uev.SyncController.exe
300,microsoft,microsoft.windows.softwarelogo.showdesktop.exe
301,MicrosoftEdgeBCHost,MicrosoftEdgeBCHost.exe
302,MicrosoftEdgeCP,MicrosoftEdgeCP.exe
303,MicrosoftEdgeDevTools,MicrosoftEdgeDevTools.exe
304,MicrosoftEdgeSH,MicrosoftEdgeSH.exe
305,mitigationscanner,mitigationscanner.exe
306,mmc,mmc.exe
307,mmgaserver,mmgaserver.exe
308,mobsync,mobsync.exe
309,mountvol,mountvol.exe
310,mousocoreworker,mousocoreworker.exe
311,mpnotify,mpnotify.exe
312,MpSigStub,MpSigStub.exe
313,MRINFO,MRINFO.EXE
314,MRT,MRT.exe
315,MSchedExe,MSchedExe.exe
316,msconfig,msconfig.exe
317,msdt,msdt.exe
318,msdtc,msdtc.exe
319,msfeedssync,msfeedssync.exe
320,msg,msg.exe
321,mshta,mshta.exe
322,msiexec,msiexec.exe
323,msinfo32,msinfo32.exe
324,mspaint,mspaint.exe
325,msra,msra.exe
326,MsSpellCheckingHost,MsSpellCheckingHost.exe
327,mstsc,mstsc.exe
328,mtstocom,mtstocom.exe
329,MuiUnattend,MuiUnattend.exe
330,MultiDigiMon,MultiDigiMon.exe
331,MusNotification,MusNotification.exe
332,MusNotificationUx,MusNotificationUx.exe
333,MusNotifyIcon,MusNotifyIcon.exe
334,Narrator,Narrator.exe
335,nbtstat,nbtstat.exe
336,ndadmin,ndadmin.exe
337,NDKPing,NDKPing.exe
338,net,net.exe
339,net1,net1.exe
340,netbtugc,netbtugc.exe
341,netcfg,netcfg.exe
342,NetCfgNotifyObjectHost,NetCfgNotifyObjectHost.exe
343,NetEvtFwdr,NetEvtFwdr.exe
344,NetHost,NetHost.exe
345,netiougc,netiougc.exe
346,Netplwiz,Netplwiz.exe
347,netsh,netsh.exe
348,NETSTAT,NETSTAT.EXE
349,newdev,newdev.exe
350,NgcIso,NgcIso.exe
351,nltest,nltest.exe
352,notepad,notepad.exe
353,nslookup,nslookup.exe
354,ntoskrnl,ntoskrnl.exe
355,ntprint,ntprint.exe
356,odbcad32,odbcad32.exe
357,odbcconf,odbcconf.exe
358,ofdeploy,ofdeploy.exe
359,omadmclient,omadmclient.exe
360,omadmprc,omadmprc.exe
361,openfiles,openfiles.exe
362,OpenWith,OpenWith.exe
363,OptionalFeatures,OptionalFeatures.exe
364,osk,osk.exe
365,pacjsworker,pacjsworker.exe
366,PackagedCWALauncher,PackagedCWALauncher.exe
367,PackageInspector,PackageInspector.exe
368,PasswordOnWakeSettingFlyout,PasswordOnWakeSettingFlyout.exe
369,PATHPING,PATHPING.EXE
370,pcalua,pcalua.exe
371,pcaui,pcaui.exe
372,pcwrun,pcwrun.exe
373,perfmon,perfmon.exe
374,phoneactivate,phoneactivate.exe
375,PickerHost,PickerHost.exe
376,PinEnrollmentBroker,PinEnrollmentBroker.exe
377,PING,PING.EXE
378,PkgMgr,PkgMgr.exe
379,PktMon,PktMon.exe
380,plasrv,plasrv.exe
381,PnPUnattend,PnPUnattend.exe
382,pnputil,pnputil.exe
383,poqexec,poqexec.exe
384,pospaymentsworker,pospaymentsworker.exe
385,powercfg,powercfg.exe
386,PresentationHost,PresentationHost.exe
387,PresentationSettings,PresentationSettings.exe
388,prevhost,prevhost.exe
389,print,print.exe
390,PrintBrmUi,PrintBrmUi.exe
391,printfilterpipelinesvc,printfilterpipelinesvc.exe
392,PrintIsolationHost,PrintIsolationHost.exe
393,printui,printui.exe
394,proquota,proquota.exe
395,provlaunch,provlaunch.exe
396,provtool,provtool.exe
397,ProximityUxHost,ProximityUxHost.exe
