,Application,Actual Extension
398,prproc,prproc.exe
399,psr,psr.exe
400,pwcreator,pwcreator.exe
401,pwlauncher,pwlauncher.exe
402,qappsrv,qappsrv.exe
403,qprocess,qprocess.exe
404,query,query.exe
405,quickassist,quickassist.exe
406,quser,quser.exe
407,qwinsta,qwinsta.exe
408,rasautou,rasautou.exe
409,rasdial,rasdial.exe
410,raserver,raserver.exe
411,rasphone,rasphone.exe
412,rdpclip,rdpclip.exe
413,rdpinit,rdpinit.exe
414,rdpinput,rdpinput.exe
415,RdpSa,RdpSa.exe
416,RdpSaProxy,RdpSaProxy.exe
417,RdpSaUacHelper,RdpSaUacHelper.exe
418,rdpshell,rdpshell.exe
419,rdpsign,rdpsign.exe
420,rdrleakdiag,rdrleakdiag.exe
421,RDVGHelper,RDVGHelper.exe
422,ReAgentc,ReAgentc.exe
423,recdisc,recdisc.exe
424,recover,recover.exe
425,RecoveryDrive,RecoveryDrive.exe
426,refsutil,refsutil.exe
427,reg,reg.exe
428,regedt32,regedt32.exe
429,regini,regini.exe
430,Register-CimProvider,Register-CimProvider.exe
431,regsvr32,regsvr32.exe
432,rekeywiz,rekeywiz.exe
433,relog,relog.exe
434,RelPost,RelPost.exe
435,RemoteAppLifetimeManager,RemoteAppLifetimeManager.exe
436,RemotePosWorker,RemotePosWorker.exe
437,repair-bde,repair-bde.exe
438,replace,replace.exe
439,reset,reset.exe
440,ResetEngine,ResetEngine.exe
441,resmon,resmon.exe
442,RMActivate,RMActivate.exe
443,RMActivate_isv,RMActivate_isv.exe
444,RMActivate_ssp,RMActivate_ssp.exe
445,RMActivate_ssp_isv,RMActivate_ssp_isv.exe
446,RmClient,RmClient.exe
447,rmttpmvscmgrsvr,rmttpmvscmgrsvr.exe
448,Robocopy,Robocopy.exe
449,ROUTE,ROUTE.EXE
450,RpcPing,RpcPing.exe
451,rrinstaller,rrinstaller.exe
452,rstrui,rstrui.exe
453,RtkAudUService64,RtkAudUService64.exe
454,runas,runas.exe
455,rundll32,rundll32.exe
456,runexehelper,runexehelper.exe
457,RunLegacyCPLElevated,RunLegacyCPLElevated.exe
458,runonce,runonce.exe
459,RuntimeBroker,RuntimeBroker.exe
460,rwinsta,rwinsta.exe
461,sc,sc.exe
462,schtasks,schtasks.exe
463,ScriptRunner,ScriptRunner.exe
464,sdbinst,sdbinst.exe
465,sdchange,sdchange.exe
466,sdclt,sdclt.exe
467,sdiagnhost,sdiagnhost.exe
468,SearchFilterHost,SearchFilterHost.exe
469,SearchIndexer,SearchIndexer.exe
470,SearchProtocolHost,SearchProtocolHost.exe
471,SecEdit,SecEdit.exe
472,secinit,secinit.exe
473,securekernel,securekernel.exe
474,SecurityHealthHost,SecurityHealthHost.exe
475,SecurityHealthService,SecurityHealthService.exe
476,SecurityHealthSystray,SecurityHealthSystray.exe
477,SensorDataService,SensorDataService.exe
478,services,services.exe
479,sessionmsg,sessionmsg.exe
480,sethc,sethc.exe
481,setspn,setspn.exe
482,SettingSyncHost,SettingSyncHost.exe
483,setupcl,setupcl.exe
484,setupugc,setupugc.exe
485,setx,setx.exe
486,sfc,sfc.exe
487,SgrmBroker,SgrmBroker.exe
488,SgrmLpac,SgrmLpac.exe
489,shrpubw,shrpubw.exe
490,shutdown,shutdown.exe
491,sigverif,sigverif.exe
492,SIHClient,SIHClient.exe
493,sihost,sihost.exe
494,SlideToShutDown,SlideToShutDown.exe
495,slui,slui.exe
496,smartscreen,smartscreen.exe
497,smss,smss.exe
498,SndVol,SndVol.exe
499,SnippingTool,SnippingTool.exe
500,snmptrap,snmptrap.exe
501,sort,sort.exe
502,SpaceAgent,SpaceAgent.exe
503,spaceman,spaceman.exe
504,SpatialAudioLicenseSrv,SpatialAudioLicenseSrv.exe
505,Spectrum,Spectrum.exe
506,spoolsv,spoolsv.exe
507,SppExtComObj,SppExtComObj.Exe
508,sppsvc,sppsvc.exe
509,srdelayed,srdelayed.exe
510,SrTasks,SrTasks.exe
511,stordiag,stordiag.exe
512,subst,subst.exe
513,svchost,svchost.exe
514,sxstrace,sxstrace.exe
515,SyncAppvPublishingServer,SyncAppvPublishingServer.exe
516,SyncHost,SyncHost.exe
517,SysResetErr,SysResetErr.exe
518,systeminfo,systeminfo.exe
519,SystemPropertiesAdvanced,SystemPropertiesAdvanced.exe
520,SystemPropertiesComputerName,SystemPropertiesComputerName.exe
521,SystemPropertiesDataExecutionPrevention,SystemPropertiesDataExecutionPrevention.exe
522,SystemPropertiesHardware,SystemPropertiesHardware.exe
523,SystemPropertiesPerformance,SystemPropertiesPerformance.exe
524,SystemPropertiesProtection,SystemPropertiesProtection.exe
525,SystemPropertiesRemote,SystemPropertiesRemote.exe
526,systemreset,systemreset.exe
527,SystemSettingsAdminFlows,SystemSettingsAdminFlows.exe
528,SystemSettingsBroker,SystemSettingsBroker.exe
529,SystemSettingsRemoveDevice,SystemSettingsRemoveDevice.exe
530,SystemUWPLauncher,SystemUWPLauncher.exe
531,systray,systray.exe
532,tabcal,tabcal.exe
533,takeown,takeown.exe
534,TapiUnattend,TapiUnattend.exe
535,tar,tar.exe
536,taskhostw,taskhostw.exe
537,taskkill,taskkill.exe
538,tasklist,tasklist.exe
539,Taskmgr,Taskmgr.exe
540,tcblaunch,tcblaunch.exe
541,tcmsetup,tcmsetup.exe
542,TCPSVCS,TCPSVCS.EXE
543,ThumbnailExtractionHost,ThumbnailExtractionHost.exe
544,TieringEngineService,TieringEngineService.exe
545,timeout,timeout.exe
546,TokenBrokerCookies,TokenBrokerCookies.exe
547,TpmInit,TpmInit.exe
548,tpmvscmgr,tpmvscmgr.exe
549,tpmvscmgrsvr,tpmvscmgrsvr.exe
550,tracerpt,tracerpt.exe
551,TRACERT,TRACERT.EXE
552,tscon,tscon.exe
553,tsdiscon,tsdiscon.exe
554,tskill,tskill.exe
555,TSTheme,TSTheme.exe
556,TSWbPrxy,TSWbPrxy.exe
557,TsWpfWrp,TsWpfWrp.exe
558,ttdinject,ttdinject.exe
559,tttracer,tttracer.exe
560,typeperf,typeperf.exe
561,tzsync,tzsync.exe
562,tzutil,tzutil.exe
563,ucsvc,ucsvc.exe
564,UevAgentPolicyGenerator,UevAgentPolicyGenerator.exe
565,UevAppMonitor,UevAppMonitor.exe
566,UevTemplateBaselineGenerator,UevTemplateBaselineGenerator.exe
567,UevTemplateConfigItemGenerator,UevTemplateConfigItemGenerator.exe
568,UIMgrBroker,UIMgrBroker.exe
569,unlodctr,unlodctr.exe
570,unregmp2,unregmp2.exe
571,upfc,upfc.exe
572,UpgradeResultsUI,UpgradeResultsUI.exe
573,upnpcont,upnpcont.exe
574,UserAccountBroker,UserAccountBroker.exe
575,UserAccountControlSettings,UserAccountControlSettings.exe
576,userinit,userinit.exe
577,UsoClient,UsoClient.exe
578,usocoreworker,usocoreworker.exe
579,Utilman,Utilman.exe
580,VaultCmd,VaultCmd.exe
581,vds,vds.exe
582,vdsldr,vdsldr.exe
583,verclsid,verclsid.exe
584,verifier,verifier.exe
585,verifiergui,verifiergui.exe
586,VsGraphicsDesktopEngine,VsGraphicsDesktopEngine.exe
587,VsGraphicsRemoteEngine,VsGraphicsRemoteEngine.exe
588,vsjitdebugger,vsjitdebugger.exe
589,vssadmin,vssadmin.exe
590,VSSVC,VSSVC.exe
591,vulkaninfo-1-1-0-54-1,vulkaninfo-1-1-0-54-1.exe
592,vulkaninfo-1-1-0-65-1,vulkaninfo-1-1-0-65-1.exe
593,vulkaninfo,vulkaninfo.exe
594,w32tm,w32tm.exe
595,WaaSMedicAgent,WaaSMedicAgent.exe
596,waitfor,waitfor.exe
597,WallpaperHost,WallpaperHost.exe
598,wbadmin,wbadmin.exe
599,wbengine,wbengine.exe
600,wecutil,wecutil.exe
601,WerFault,WerFault.exe
602,WerFaultSecure,WerFaultSecure.exe
603,wermgr,wermgr.exe
604,wevtutil,wevtutil.exe
605,wextract,wextract.exe
606,WFS,WFS.exe
607,where,where.exe
608,whoami,whoami.exe
609,wiaacmgr,wiaacmgr.exe
610,wiawow64,wiawow64.exe
611,wifitask,wifitask.exe
612,wimserv,wimserv.exe
613,WinBioDataModelOOBE,WinBioDataModelOOBE.exe
614,Windows,Windows.Media.BackgroundPlayback.exe
615,Windows,Windows.WARP.JITService.exe
616,WindowsActionDialog,WindowsActionDialog.exe
617,WindowsUpdateElevatedInstaller,WindowsUpdateElevatedInstaller.exe
618,wininit,wininit.exe
619,winload,winload.exe
620,winlogon,winlogon.exe
621,winresume,winresume.exe
622,winrs,winrs.exe
623,winrshost,winrshost.exe
624,WinRTNetMUAHostServer,WinRTNetMUAHostServer.exe
625,WinSAT,WinSAT.exe
626,winver,winver.exe
627,wkspbroker,wkspbroker.exe
628,wksprt,wksprt.exe
629,wlanext,wlanext.exe
630,wlrmdr,wlrmdr.exe
631,WMPDMC,WMPDMC.exe
632,WorkFolders,WorkFolders.exe
633,wowreg32,wowreg32.exe
634,WpcMon,WpcMon.exe
635,WpcTok,WpcTok.exe
636,WPDShextAutoplay,WPDShextAutoplay.exe
637,wpnpinst,wpnpinst.exe
638,wpr,wpr.exe
639,write,write.exe
640,wscadminui,wscadminui.exe
641,WSCollect,WSCollect.exe
642,wscript,wscript.exe
643,WSManHTTPConfig,WSManHTTPConfig.exe
644,wsmprovhost,wsmprovhost.exe
645,wsqmcons,wsqmcons.exe
646,WSReset,WSReset.exe
647,wuapihost,wuapihost.exe
648,wuauclt,wuauclt.exe
649,WUDFCompanionHost,WUDFCompanionHost.exe
650,WUDFHost,WUDFHost.exe
651,wusa,wusa.exe
652,WWAHost,WWAHost.exe
653,XblGameSaveTask,XblGameSaveTask.exe
654,xcopy,xcopy.exe
655,xwizard,xwizard.exe
656,bfsvc,bfsvc.exe
657,explorer,explorer.exe
658,HelpPane,HelpPane.exe
659,hh,hh.exe
660,notepad,notepad.exe
661,py,py.exe
662,pyw,pyw.exe
663,regedit,regedit.exe
664,splwow64,splwow64.exe
665,winhlp32,winhlp32.exe
666,write,write.exe
667,mofcomp,mofcomp.exe
668,scrcons,scrcons.exe
669,unsecapp,unsecapp.exe
670,wbemtest,wbemtest.exe
671,WinMgmt,WinMgmt.exe
672,WMIADAP,WMIADAP.exe
673,WmiApSrv,WmiApSrv.exe
674,WMIC,WMIC.exe
675,WmiPrvSE,WmiPrvSE.exe
676,powershell,powershell.exe
677,powershell_ise,powershell_ise.exe
678,scp,scp.exe
679,sftp,sftp.exe
680,ssh-add,ssh-add.exe
681,ssh-agent,ssh-agent.exe
682,ssh-keygen,ssh-keygen.exe
683,ssh-keyscan,ssh-keyscan.exe
684,ssh,ssh.exe
685,SqlLocalDB,SqlLocalDB.exe
686,SqlLocalDB,SqlLocalDB.exe
687,DataProfileViewer,DataProfileViewer.exe
688,DTExec,DTExec.exe
689,DtsDebugHost,DtsDebugHost.exe
690,dtshost,dtshost.exe
691,DTSWizard,DTSWizard.exe
692,dtutil,dtutil.exe
693,DataProfileViewer,DataProfileViewer.exe
694,DTExec,DTExec.exe
695,DtsDebugHost,DtsDebugHost.exe
696,dtshost,dtshost.exe
697,DTSWizard,DTSWizard.exe
698,dtutil,dtutil.exe
699,DataProfileViewer,DataProfileViewer.exe
700,DTExec,DTExec.exe
701,DtsDebugHost,DtsDebugHost.exe
702,dtshost,dtshost.exe
703,DTSWizard,DTSWizard.exe
704,dtutil,dtutil.exe
705,DataProfileViewer,DataProfileViewer.exe
706,DTExec,DTExec.exe
707,dtshost,dtshost.exe
708,dtsinstall,dtsinstall.exe
709,DTSWizard,DTSWizard.exe
710,dtutil,dtutil.exe
711,ISDataFeedPublishingWizard,ISDataFeedPublishingWizard.exe
712,ISDBUpgradeWizard,ISDBUpgradeWizard.exe
713,ISDeploymentWizard,ISDeploymentWizard.exe
714,ISProjectWizard,ISProjectWizard.exe
715,ISServerExec,ISServerExec.exe
716,SSISUpgrade,SSISUpgrade.exe
717,DReplay,DReplay.exe
718,DTA,DTA.EXE
719,dtadbxfer,dtadbxfer.exe
720,dtaengine,dtaengine.exe
721,DTASHELL,DTASHELL.EXE
722,OSQL,OSQL.EXE
723,PROFILER,PROFILER.EXE
724,rs,rs.exe
725,rsconfig,rsconfig.exe
726,RSConfigTool,RSConfigTool.exe
727,RSKeyMgmt,RSKeyMgmt.exe
728,SQLdiag,SQLdiag.exe
729,sqlmonitor,sqlmonitor.exe
730,SQLPS,SQLPS.exe
731,SSBDiagnose,SSBDiagnose.exe
732,OSQL,OSQL.EXE
733,SQLdiag,SQLdiag.exe
734,SqlLocalDB,SqlLocalDB.exe
735,SqlLogShip,SqlLogShip.exe
736,DTExec,DTExec.exe
737,dtshost,dtshost.exe
738,dtsinstall,dtsinstall.exe
739,DTSWizard,DTSWizard.exe
740,dtutil,dtutil.exe
741,ISDataFeedPublishingWizard,ISDataFeedPublishingWizard.exe
742,ISDBUpgradeWizard,ISDBUpgradeWizard.exe
743,ISDeploymentWizard,ISDeploymentWizard.exe
744,ISProjectWizard,ISProjectWizard.exe
745,ISServerExec,ISServerExec.exe
746,Microsoft,Microsoft.SqlServer.IntegrationServices.MasterServiceHost.exe
747,Microsoft,Microsoft.SqlServer.IntegrationServices.WorkerAgentServiceHost.exe
748,MsDtsSrvr,MsDtsSrvr.exe
749,sqlceip,sqlceip.exe
750,SSISUpgrade,SSISUpgrade.exe
751,bcp,bcp.exe
752,SQLCMD,SQLCMD.EXE
753,node,node.exe
754,choco,choco.exe
755,chocolatey,chocolatey.exe
756,cinst,cinst.exe
757,clist,clist.exe
758,cpack,cpack.exe
759,cpush,cpush.exe
760,cuninst,cuninst.exe
761,cup,cup.exe
762,cver,cver.exe
763,bcp,bcp.exe
764,SQLCMD,SQLCMD.EXE
765,ASInstanceRename,ASInstanceRename.exe
766,ConflictViewer,ConflictViewer.exe
767,ControlService,ControlService.exe
768,CopyDatabaseWizard,CopyDatabaseWizard.exe
769,DatabaseMailWizard,DatabaseMailWizard.exe
770,DTExecUI,DTExecUI.exe
771,Microsoft,Microsoft.AnalysisServices.Deployment.exe
772,Ssms,Ssms.exe
773,git-gui,git-gui.exe
774,git-lfs,git-lfs.exe
775,git,git.exe
776,gitk,gitk.exe
777,dotnet,dotnet.exe
778,bcp,bcp.exe
779,SQLCMD,SQLCMD.EXE
780,idle,idle.exe
781,idle3,idle3.7.exe
782,idle3,idle3.exe
783,MicrosoftEdge,MicrosoftEdge.exe
784,PBIDesktopStore,PBIDesktopStore.exe
785,pip,pip.exe
786,pip3,pip3.7.exe
787,pip3,pip3.exe
788,python,python.exe
789,python3,python3.7.exe
790,python3,python3.exe
791,pythonw,pythonw.exe
792,pythonw3,pythonw3.7.exe
793,pythonw3,pythonw3.exe
794,,
